iter	Passed	Remaining
0	320	320439
1	578	288625
2	872	289916
3	1138	283426
4	1325	263751
5	1525	252770
6	1697	240784
7	1859	230590
8	2062	227082
9	2273	225100
10	2412	216865
11	2553	210237
12	2852	216594
13	3090	217678
14	3244	213055
15	3404	209350
16	3511	203034
17	3632	198145
18	3739	193095
19	3833	187832
20	3930	183251
21	4070	180937
22	4209	178824
23	4299	174858
24	4378	170757
25	4474	167604
26	4556	164185
27	4641	161129
28	4742	158776
29	4861	157185
30	4982	155733
31	5098	154221
32	5200	152379
33	5313	150972
34	5448	150214
35	5554	148737
36	5691	148126
37	5804	146954
38	5889	145132
39	5985	143651
40	6092	142496
41	6201	141442
42	6318	140618
43	6407	139226
44	6533	138663
45	6713	139230
46	6833	138566
47	6926	137367
48	7013	136122
49	7257	137885
50	7602	141472
51	7791	142044
52	7932	141736
53	8084	141636
54	8227	141357
55	8364	141008
56	8602	142314
57	8854	143811
58	9010	143708
59	9128	143014
60	9240	142239
61	9393	142111
62	9514	141503
63	9616	140637
64	9694	139455
65	9761	138145
66	9888	137702
67	10042	137636
68	10184	137415
69	10382	137936
70	10681	139764
71	10927	140842
72	11100	140965
73	11262	140933
74	11391	140499
75	11481	139591
76	11624	139337
77	11731	138673
78	11848	138134
79	11990	137889
80	12114	137445
81	12250	137147
82	12378	136756
83	12482	136123
84	12593	135568
85	12694	134914
86	12921	135601
87	13037	135119
88	13151	134614
89	13257	134044
90	13358	133433
91	13472	132963
92	13607	132704
93	13755	132584
94	13882	132250
95	14014	131971
96	14136	131599
97	14235	131026
98	14316	130292
99	14422	129805
100	14536	129385
101	14644	128928
102	14775	128679
103	14933	128661
104	15052	128307
105	15175	127991
106	15319	127855
107	15421	127367
108	15536	127002
109	15633	126487
110	15746	126112
111	15873	125851
112	15976	125408
113	16076	124946
114	16155	124329
115	16223	123631
116	16332	123259
117	16468	123097
118	16599	122891
119	16712	122558
120	16846	122377
121	16955	122025
122	17105	121965
123	17241	121801
124	17336	121355
125	17446	121017
126	17552	120653
127	17663	120330
128	17765	119950
129	17865	119560
130	17971	119212
131	18063	118783
132	18241	118915
133	18419	119038
134	18529	118723
135	18665	118582
136	18774	118268
137	18998	118673
138	19123	118454
139	19240	118190
140	19349	117880
141	19439	117460
142	19525	117017
143	19597	116496
144	19667	115971
145	19740	115470
146	19813	114974
147	19879	114440
148	19934	113852
149	19993	113298
150	20065	112817
151	20132	112319
152	20196	111805
153	20293	111483
154	20366	111030
155	20451	110647
156	20519	110179
157	20588	109717
158	20664	109298
159	20729	108828
160	20797	108378
161	20874	107981
162	20940	107529
163	20996	107032
164	21073	106643
165	21137	106195
166	21193	105716
167	21254	105259
168	21318	104825
169	21391	104441
170	21448	103979
171	21502	103511
172	21557	103054
173	21615	102613
174	21681	102213
175	21756	101858
176	21841	101557
177	21907	101167
178	21964	100741
179	22034	100378
180	22104	100021
181	22175	99668
182	22241	99295
183	22325	99010
184	22413	98741
185	22515	98533
186	22626	98368
